Z  , N  , A  , symbol, nuclide, state, Qalpha_keV, unc_Qalpha_keV, Qalpha_MeV       , T12_total_s, unc_T12_total_s, alpha_branch        , alpha_branch_unc      , alpha_branch_percent, alpha_branch_flag, T12_alpha_s                 , log10_T12_alpha_s    , T12_alpha_limit, decay_summary                , half_life_operator, source                      , ENSDFpublicationcut-off, ENSDFauthors                                                , Extraction_date, note
100, 148, 248, Fm    , 248Fm  , g.s. ,  7994.7808,         8.2669, 7.9947808        , 34.5       , 1.2            , 0.95                , 0.05                  ,  95.0               , exact            ,      36.31578947368421      , 1.5600954897844264   ,                , A:95.0%; EC:5.0%; SF:0.1%    ,                   , IAEA LiveChart ground_states, 1-Sep-2014             , M. J. MARTIN                                                , 2023-10-18     , 
100, 149, 249, Fm    , 249Fm  , g.s. ,  7709.0754,         5.929 , 7.7090754        , 156.0      , 42.0           , 0.33                , 0.09                  ,  33.0               , exact            ,     472.7272727272727       , 2.674610658476574    ,                , EC+B+:67.0%; A:33.0%         ,                   , IAEA LiveChart ground_states, 31-Dec-2010            , KHALIFEH ABUSALEEM                                          , 2023-10-18     , 
100, 150, 250, Fm    , 250Fm  , g.s. ,  7557.0492,         7.8003, 7.557049200000001, 1800.0     , 180.0          , 0.9                 ,                       ,  90.0               , exact            ,    2000.0                   , 3.3010299956639813   ,                , A:90.0%; EC:10.0%; SF:0.0069%,                   , IAEA LiveChart ground_states, 1-Aug-2001             , Y. Akovali                                                  , 2023-10-18     , 
100, 151, 251, Fm    , 251Fm  , g.s. ,  7424.4999,         1.0   , 7.4244999        , 19080.0    , 288.0          , 0.018000000000000002, 0.0013                ,   1.8000000000000003, exact            , 1059999.9999999998          , 6.02530586526477     ,                , EC+B+:98.2%; A:1.8%          ,                   , IAEA LiveChart ground_states, 1-Jan-2012             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
100, 152, 252, Fm    , 252Fm  , g.s. ,  7153.7437,         1.0162, 7.1537437        , 91404.0    , 144.0          , 0.9999769999999999  , 2e-06                 ,  99.9977            , exact            ,   91406.10234035384         , 4.960975190528966    ,                , A:99.9977%; SF:0.0023%       ,                   , IAEA LiveChart ground_states, 1-Jan-2021             , A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN, 2023-10-18     , 
100, 153, 253, Fm    , 253Fm  , g.s. ,  7197.8999,         1.0   , 7.1978999        , 259200.0   , 10368.0        , 0.12                , 0.01                  ,  12.0               , exact            , 2160000.0                   , 6.334453751150931    ,                , EC:88.0%; A:12.0%            ,                   , IAEA LiveChart ground_states, 1-Mar-2012             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
100, 154, 254, Fm    , 254Fm  , g.s. ,  7307.2696,         1.016 , 7.3072696        , 11664.0    , 7.2            , 0.999408            , 2.9999999999999997e-06,  99.9408            , exact            ,   11670.909178233514        , 4.0671046894395255   ,                , A:99.9408%; SF:0.0592%       ,                   , IAEA LiveChart ground_states, 31-Jan-2019            , BALRAJ SINGH                                                , 2023-10-18     , 
100, 155, 255, Fm    , 255Fm  , g.s. ,  7240.5682,         0.508 , 7.240568199999999, 72252.0    , 252.0          , 1.0                 ,                       , 100.0               , exact            ,   72252.0                   , 4.858849873254773    ,                , A:100.0%; SF:2.4e-05%        ,                   , IAEA LiveChart ground_states, 1-Nov-2011             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
100, 156, 256, Fm    , 256Fm  , g.s. ,  7025.2702,         1.8865, 7.0252702        , 9426.0     , 78.0           , 0.081               , 0.003                 ,   8.1               , exact            ,  116370.37037037036         , 5.065842416544967    ,                , SF:91.9%; A:8.1%             ,                   , IAEA LiveChart ground_states, 22-Mar-2017            , BALRAJ SINGH                                                , 2023-10-18     , 
101, 148, 249, Md    , 249Md  , g.s. ,  8441.0   ,        18.0   , 8.441            , 21.7       , 2.0            , 0.6                 ,                       ,  60.0               , exact            ,      36.166666666666664     , 1.558308483464886    ,                , A:60.0%; EC+B+:40.0%         ,                   , IAEA LiveChart ground_states, 31-Dec-2010            , KHALIFEH ABUSALEEM                                          , 2023-10-18     , 
101, 149, 250, Md    , 250Md  , g.s. ,  8155.4227,        27.6804, 8.1554227        , 52.0       , 6.0            , 0.07                , 0.03                  ,   7.000000000000001 , exact            ,     742.8571428571428       , 2.870905303620542    ,                , EC:93.0%; A:7.0%             ,                   , IAEA LiveChart ground_states, 1-Aug-2001             , Y. Akovali                                                  , 2023-10-18     , 
101, 150, 251, Md    , 251Md  , g.s. ,  7963.4399,         4.4721, 7.9634399        , 240.0      , 30.0           , 0.1                 ,                       ,  10.0               , exact            ,    2400.0                   , 3.380211241711606    ,                , EC+B+:90.0%; A:10.0%         ,                   , IAEA LiveChart ground_states, 1-Jan-2012             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
101, 151, 252, Md    , 252Md  , g.s. ,  7743.0   ,       105.0   , 7.743            , 138.0      , 48.0           ,                     ,                       ,                     , missing          ,                             ,                      ,                , EC:100.0%                    ,                   , IAEA LiveChart ground_states, 1-Jan-2021             , A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN, 2023-10-18     , no alpha decay mode listed among decay_1/2/3
101, 152, 253, Md    , 253Md  , g.s. ,  7573.0769,         8.3205, 7.5730769        , 360.0      , 450.0          , 0.006999999999999999,                       ,   0.7               , exact            ,   51428.571428571435        , 4.711204460753031    ,                , EC+B+:99.3%; A:0.7%          ,                   , IAEA LiveChart ground_states, 1-Mar-2012             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
101, 153, 254, Md    , 254Md  , g.s. ,  7802.0   ,       141.0   , 7.802            , 600.0      , 180.0          ,                     ,                       ,                     , missing          ,                             ,                      ,                , EC+B+:100.0%                 ,                   , IAEA LiveChart ground_states, 31-Jan-2019            , BALRAJ SINGH                                                , 2023-10-18     , no alpha decay mode listed among decay_1/2/3
101, 154, 255, Md    , 255Md  , g.s. ,  7905.606 ,         1.7408, 7.905606         , 1620.0     , 120.0          , 0.07                , 0.01                  ,   7.000000000000001 , exact            ,   23142.85714285714         , 4.364416974528374    ,                , EC:93.0%; A:7.0%             ,                   , IAEA LiveChart ground_states, 1-Nov-2011             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
101, 155, 256, Md    , 256Md  , g.s. ,  7737.0   ,       113.0   , 7.737            , 4662.0     , 108.0          , 0.092               , 0.006999999999999999  ,   9.2               , exact            ,   50673.913043478264        , 4.704784441839003    ,                , EC:90.8%; A:9.2%; SF:3.0%    ,                   , IAEA LiveChart ground_states, 22-Mar-2017            , BALRAJ SINGH                                                , 2023-10-18     , 
101, 156, 257, Md    , 257Md  , g.s. ,  7557.0699,         0.9487, 7.5570699        , 19872.0    , 180.0          , 0.15                , 0.03                  ,  15.0               , exact            ,  132480.0                   , 5.122150319440805    ,                , EC:85.0%; A:15.0%; SF:1.0%   ,                   , IAEA LiveChart ground_states, 1-Mar-2012             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
102, 148, 250, No    , 250No  , g.s. ,  8950.0   ,       200.0   , 8.95             , 4.2e-06    , 1.05e-06       , 0.02                ,                       ,   2.0               , exact            ,       0.00020999999999999998, -3.677780705266081   ,                , SF:100.0%; A:2.0%            ,                   , IAEA LiveChart ground_states, 15-SEP-2006            , BALRAJ SINGH                                                , 2023-10-18     , 
102, 149, 251, No    , 251No  , g.s. ,  8751.714 ,         4.0649, 8.751714         , 0.8        , 0.01           , 0.91                ,                       ,  91.0               , exact            ,       0.8791208791208791    , -0.055951405329150015,                , A:91.0%; SF:0.3%; EC+B+:nan% ,                   , IAEA LiveChart ground_states, 1-Jan-2012             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
102, 150, 252, No    , 252No  , g.s. ,  8548.6616,         5.3226, 8.548661599999999, 2.46       , 0.02           , 0.653               , 0.005                 ,  65.3               , exact            ,       3.7672281776416536    , 0.5760219258283052   ,                , A:65.3%; SF:33.0%; EC+B+:1.7%,                   , IAEA LiveChart ground_states, 1-Jan-2021             , A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN, 2023-10-18     , 
102, 151, 253, No    , 253No  , g.s. ,  8414.6374,         4.3296, 8.4146374        , 97.2       , 9.0            , 0.55                , 0.03                  ,  55.00000000000001  , exact            ,     176.72727272727272      , 2.2473035754320305   ,                , A:55.0%; EC+B+:45.0%         ,                   , IAEA LiveChart ground_states, 1-Mar-2012             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
102, 152, 254, No    , 254No  , g.s. ,  8226.2032,         8.0482, 8.2262032        , 51.2       , 0.4            , 0.9                 , 0.01                  ,  90.0               , exact            ,      56.88888888888889      , 1.7550274515365059   ,                , A:90.0%; EC:10.0%; SF:0.17%  ,                   , IAEA LiveChart ground_states, 31-Jan-2019            , BALRAJ SINGH                                                , 2023-10-18     , 
102, 153, 255, No    , 255No  , g.s. ,  8428.2098,         2.9932, 8.428209800000001, 211.2      , 12.6           , 0.3                 , 0.05                  ,  30.0               , exact            ,     704.0                   , 2.847572659142112    ,                , EC+B+:70.0%; A:30.0%         ,                   , IAEA LiveChart ground_states, 1-Nov-2011             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
102, 154, 256, No    , 256No  , g.s. ,  8581.5194,         5.4519, 8.5815194        , 2.91       , 0.05           , 0.9947              , 0.0006                ,  99.47              , exact            ,       2.925505177440434     , 0.4662008710441807   ,                , A:99.47%; SF:0.53%           ,                   , IAEA LiveChart ground_states, 22-Mar-2017            , BALRAJ SINGH                                                , 2023-10-18     , 
102, 155, 257, No    , 257No  , g.s. ,  8476.5999,         6.0   , 8.4765999        , 24.5       , 0.5            , 0.85                , 0.15                  ,  85.0               , exact            ,      28.823529411764707     , 1.4597471586502397   ,                , A:85.0%; EC:30.0%; SF:1.5%   ,                   , IAEA LiveChart ground_states, 1-Mar-2012             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
102, 156, 258, No    , 258No  , g.s. ,  8150.0   ,       100.0   , 8.15             , 0.0012     , 0.0002         ,                     ,                       ,                     , missing          ,                             ,                      ,                , SF:100.0%                    ,                   , IAEA LiveChart ground_states, 25-Aug-2017            , BALRAJ SINGH                                                , 2023-10-18     , no alpha decay mode listed among decay_1/2/3
103, 149, 252, Lr    , 252Lr  , g.s. ,  9164.3375,        16.9099, 9.1643375        , 0.33       , 0.075          , 0.4                 ,                       ,  40.0               , exact            ,       0.825                 , -0.08354605145007495 ,                , EC+B+:60.0%; A:40.0%; SF:2.0%,                   , IAEA LiveChart ground_states, 1-Jan-2021             , A.M. MATTERA and  S. ZHU and  A.B. HAYES and  E.A. MCCUTCHAN, 2023-10-18     , 
103, 150, 253, Lr    , 253Lr  , g.s. ,  8917.6035,        20.2833, 8.917603499999998, 0.57       , 0.065          , 0.987               ,                       ,  98.7               , exact            ,       0.5775075987841944    , -0.23844229699714542 ,                , A:98.7%; SF:1.3%             ,                   , IAEA LiveChart ground_states, 1-Mar-2012             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
103, 151, 254, Lr    , 254Lr  , g.s. ,  8821.8308,         8.4473, 8.821830799999999, 18.1       , 1.8            , 0.7170000000000001  , 0.019                 ,  71.7               , exact            ,      25.24407252440725      , 1.4021594192013844   ,                , A:71.7%; EC+B+:28.3%; SF:0.1%,                   , IAEA LiveChart ground_states, 31-Jan-2019            , BALRAJ SINGH                                                , 2023-10-18     , 
103, 152, 255, Lr    , 255Lr  , g.s. ,  8555.6408,         6.6865, 8.555640799999999, 31.1       , 1.1            , 0.997               , 0.001                 ,  99.7               , exact            ,      31.193580742226683     , 1.4940652307151818   ,                , A:99.7%; EC:0.3%; SF:0.1%    ,                   , IAEA LiveChart ground_states, 1-Nov-2011             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
103, 153, 256, Lr    , 256Lr  , g.s. ,  8854.5692,       123.3131, 8.8545692        , 27.9       , 1.0            , 0.85                , 0.1                   ,  85.0               , exact            ,      32.8235294117647       , 1.5161852775593048   ,                , A:85.0%; EC:15.0%; SF:0.03%  ,                   , IAEA LiveChart ground_states, 22-Mar-2017            , BALRAJ SINGH                                                , 2023-10-18     , 
103, 154, 257, Lr    , 257Lr  , g.s. ,  9067.744 ,        31.2138, 9.067744000000001, 4.0        ,                , 1.0                 ,                       , 100.0               , exact            ,       4.0                   , 0.6020599913279624   ,                , A:100.0%; EC:15.0%; SF:0.033%, AP                , IAEA LiveChart ground_states, 1-Mar-2012             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
103, 155, 258, Lr    , 258Lr  , g.s. ,  8904.4827,        18.5695, 8.9044827        , 3.92       , 0.33           , 0.9740000000000001  , 0.018000000000000002  ,  97.4               , exact            ,       4.024640657084189     , 0.6047271101418417   ,                , A:97.4%; EC:2.6%             ,                   , IAEA LiveChart ground_states, 25-Aug-2017            , BALRAJ SINGH                                                , 2023-10-18     , 
103, 156, 259, Lr    , 259Lr  , g.s. ,  8584.0   ,        71.0   , 8.584            , 6.2        , 0.3            , 0.78                , 0.02                  ,  78.0               , exact            ,       7.948717948717949     , 0.9002970868077735   ,                , A:78.0%; SF:22.0%            ,                   , IAEA LiveChart ground_states, 1-Aug-2011             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
104, 149, 253, Rf    , 253Rf  , g.s. ,  9430.0   ,       300.0   , 9.43             , 0.0099     , 0.0012         , 0.17                , 0.06                  ,  17.0               , exact            ,       0.05823529411764706   , -1.234813726780724   ,                , SF:83.0%; A:17.0%            ,                   , IAEA LiveChart ground_states, 12-Feb-2023            , Balraj Singh                                                , 2023-10-18     , 
104, 150, 254, Rf    , 254Rf  , g.s. ,  9210.0   ,       200.0   , 9.21             , 2.32e-05   , 1.1e-06        , 0.015               ,                       ,   1.5               , exact            ,       0.001546666666666667  , -2.8106032741647815  ,                , SF:100.0%; A:1.5%            ,                   , IAEA LiveChart ground_states, 31-Jan-2019            , BALRAJ SINGH                                                , 2023-10-18     , 
104, 151, 255, Rf    , 255Rf  , g.s. ,  9055.4615,         3.9223, 9.0554615        , 1.68       , 0.09           , 0.42                , 0.09                  ,  42.0               , exact            ,       4.0                   , 0.6020599913279624   ,                , SF:58.0%; A:42.0%; EC+B+:1.0%,                   , IAEA LiveChart ground_states, 1-Nov-2011             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
104, 152, 256, Rf    , 256Rf  , g.s. ,  8925.7062,        15.2385, 8.9257062        , 0.00667    , 0.0001         , 0.0032              , 0.0017000000000000001 ,   0.32              , exact            ,       2.0843749999999996    , 0.31897585559664293  ,                , SF:99.68%; A:0.32%           ,                   , IAEA LiveChart ground_states, 22-Mar-2017            , BALRAJ SINGH                                                , 2023-10-18     , 
104, 153, 257, Rf    , 257Rf  , g.s. ,  9082.7769,         8.3205, 9.0827769        , 4.4        , 0.55           , 0.7929999999999999  , 0.013999999999999999  ,  79.3               , exact            ,       5.548549810844894     , 0.7441794891685837   ,                , A:79.3%; EC:19.4%; SF:1.3%   ,                   , IAEA LiveChart ground_states, 1-Mar-2012             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
104, 154, 258, Rf    , 258Rf  , g.s. ,  9196.1101,        12.8867, 9.1961101        , 0.012      , 0.0012         , 0.049               , 0.016                 ,   4.9               , exact            ,       0.24489795918367346   , -0.6110148339808888  ,                , SF:95.1%; A:4.9%             ,                   , IAEA LiveChart ground_states, 25-Aug-2017            , BALRAJ SINGH                                                , 2023-10-18     , 
104, 155, 259, Rf    , 259Rf  , g.s. ,  9130.0   ,        71.0   , 9.13             , 2.4        , 0.4            , 0.92                , 0.02                  ,  92.0               , exact            ,       2.6086956521739126    , 0.4164234143660507   ,                , A:92.0%; EC:15.0%; SF:8.0%   ,                   , IAEA LiveChart ground_states, 1-Aug-2011             , E. BROWNE and  J. K. TULI                                   , 2023-10-18     , 
104, 156, 260, Rf    , 260Rf  , g.s. ,  8900.0   ,       200.0   , 8.9              , 0.021      , 0.001          ,                     ,                       ,                     , missing          ,                             ,                      ,                , SF:100.0%                    ,                   , IAEA LiveChart ground_states, 1-Oct-1998             , Y. A. AKOVALI                                               , 2023-10-18     , no alpha decay mode listed among decay_1/2/3
