273Ds_初态_K,273Ds_初态_宇称,273Ds_初态_量子数,273Ds_初态_Ex(MeV),273Ds_末态_K,273Ds_末态_宇称,273Ds_末态_量子数,273Ds_末态_Ex(MeV),能级差_E(MeV)
3.5,-,743,2.402,6.5,-,716,0.0,2.402
1.5,-,761,2.389,6.5,-,716,0.0,2.389
0.5,-,770,2.384,6.5,-,716,0.0,2.384
2.5,-,752,2.381,6.5,-,716,0.0,2.381
0.5,+,631,2.025,6.5,-,716,0.0,2.025
3.5,-,743,2.402,4.5,+,604,0.53,1.872
1.5,-,761,2.389,4.5,+,604,0.53,1.859
0.5,-,770,2.384,4.5,+,604,0.53,1.854
2.5,-,752,2.381,4.5,+,604,0.53,1.851
4.5,-,734,1.846,6.5,-,716,0.0,1.846
3.5,-,743,2.402,1.5,+,611,0.566,1.836
1.5,-,761,2.389,1.5,+,611,0.566,1.823
0.5,-,770,2.384,1.5,+,611,0.566,1.818
2.5,-,752,2.381,1.5,+,611,0.566,1.815
3.5,-,743,2.402,2.5,+,613,0.628,1.774
1.5,-,761,2.389,2.5,+,613,0.628,1.761
0.5,-,770,2.384,2.5,+,613,0.628,1.756
2.5,-,752,2.381,2.5,+,613,0.628,1.753
3.5,-,743,2.402,1.5,+,622,0.817,1.585
3.5,-,743,2.402,0.5,+,620,0.828,1.574
1.5,-,761,2.389,1.5,+,622,0.817,1.572
0.5,-,770,2.384,1.5,+,622,0.817,1.567
2.5,-,752,2.381,1.5,+,622,0.817,1.564
1.5,-,761,2.389,0.5,+,620,0.828,1.561
0.5,-,770,2.384,0.5,+,620,0.828,1.556
2.5,-,752,2.381,0.5,+,620,0.828,1.553
0.5,+,631,2.025,4.5,+,604,0.53,1.495
0.5,+,631,2.025,1.5,+,611,0.566,1.459
0.5,+,631,2.025,2.5,+,613,0.628,1.397
3.5,-,743,2.402,5.5,-,725,1.026,1.376
1.5,-,761,2.389,5.5,-,725,1.026,1.363
0.5,-,770,2.384,5.5,-,725,1.026,1.358
2.5,-,752,2.381,5.5,-,725,1.026,1.355
4.5,-,734,1.846,4.5,+,604,0.53,1.316
4.5,-,734,1.846,1.5,+,611,0.566,1.28
3.5,-,743,2.402,5.5,+,606,1.127,1.275
1.5,-,761,2.389,5.5,+,606,1.127,1.262
3.5,-,743,2.402,0.5,+,611,1.14,1.262
0.5,-,770,2.384,5.5,+,606,1.127,1.257
2.5,-,752,2.381,5.5,+,606,1.127,1.254
1.5,-,761,2.389,0.5,+,611,1.14,1.249
0.5,-,770,2.384,0.5,+,611,1.14,1.244
2.5,-,752,2.381,0.5,+,611,1.14,1.241
3.5,-,743,2.402,3.5,+,613,1.167,1.235
3.5,-,743,2.402,4.5,+,615,1.171,1.231
1.5,-,761,2.389,3.5,+,613,1.167,1.222
4.5,-,734,1.846,2.5,+,613,0.628,1.218
1.5,-,761,2.389,4.5,+,615,1.171,1.218
0.5,-,770,2.384,3.5,+,613,1.167,1.217
2.5,-,752,2.381,3.5,+,613,1.167,1.214
0.5,-,770,2.384,4.5,+,615,1.171,1.213
2.5,-,752,2.381,4.5,+,615,1.171,1.21
0.5,+,631,2.025,1.5,+,622,0.817,1.208
0.5,+,631,2.025,0.5,+,620,0.828,1.197
4.5,+,615,1.171,6.5,-,716,0.0,1.171
3.5,+,613,1.167,6.5,-,716,0.0,1.167
0.5,+,611,1.14,6.5,-,716,0.0,1.14
5.5,+,606,1.127,6.5,-,716,0.0,1.127
4.5,-,734,1.846,1.5,+,622,0.817,1.029
5.5,-,725,1.026,6.5,-,716,0.0,1.026
4.5,-,734,1.846,0.5,+,620,0.828,1.018
0.5,+,631,2.025,5.5,-,725,1.026,0.999
0.5,+,631,2.025,5.5,+,606,1.127,0.898
0.5,+,631,2.025,0.5,+,611,1.14,0.885
0.5,+,631,2.025,3.5,+,613,1.167,0.858
0.5,+,631,2.025,4.5,+,615,1.171,0.854
0.5,+,620,0.828,6.5,-,716,0.0,0.828
4.5,-,734,1.846,5.5,-,725,1.026,0.82
1.5,+,622,0.817,6.5,-,716,0.0,0.817
4.5,-,734,1.846,5.5,+,606,1.127,0.719
4.5,-,734,1.846,0.5,+,611,1.14,0.706
4.5,-,734,1.846,3.5,+,613,1.167,0.679
4.5,-,734,1.846,4.5,+,615,1.171,0.675
4.5,+,615,1.171,4.5,+,604,0.53,0.641
3.5,+,613,1.167,4.5,+,604,0.53,0.637
2.5,+,613,0.628,6.5,-,716,0.0,0.628
0.5,+,611,1.14,4.5,+,604,0.53,0.61
4.5,+,615,1.171,1.5,+,611,0.566,0.605
3.5,+,613,1.167,1.5,+,611,0.566,0.601
5.5,+,606,1.127,4.5,+,604,0.53,0.597
0.5,+,611,1.14,1.5,+,611,0.566,0.574
1.5,+,611,0.566,6.5,-,716,0.0,0.566
5.5,+,606,1.127,1.5,+,611,0.566,0.561
3.5,-,743,2.402,4.5,-,734,1.846,0.556
4.5,+,615,1.171,2.5,+,613,0.628,0.543
1.5,-,761,2.389,4.5,-,734,1.846,0.543
3.5,+,613,1.167,2.5,+,613,0.628,0.539
0.5,-,770,2.384,4.5,-,734,1.846,0.538
2.5,-,752,2.381,4.5,-,734,1.846,0.535
4.5,+,604,0.53,6.5,-,716,0.0,0.53
0.5,+,611,1.14,2.5,+,613,0.628,0.512
5.5,+,606,1.127,2.5,+,613,0.628,0.499
5.5,-,725,1.026,4.5,+,604,0.53,0.496
5.5,-,725,1.026,1.5,+,611,0.566,0.46
5.5,-,725,1.026,2.5,+,613,0.628,0.398
3.5,-,743,2.402,0.5,+,631,2.025,0.377
1.5,-,761,2.389,0.5,+,631,2.025,0.364
0.5,-,770,2.384,0.5,+,631,2.025,0.359
2.5,-,752,2.381,0.5,+,631,2.025,0.356
4.5,+,615,1.171,1.5,+,622,0.817,0.354
3.5,+,613,1.167,1.5,+,622,0.817,0.35
4.5,+,615,1.171,0.5,+,620,0.828,0.343
3.5,+,613,1.167,0.5,+,620,0.828,0.339
0.5,+,611,1.14,1.5,+,622,0.817,0.323
0.5,+,611,1.14,0.5,+,620,0.828,0.312
5.5,+,606,1.127,1.5,+,622,0.817,0.31
5.5,+,606,1.127,0.5,+,620,0.828,0.299
0.5,+,620,0.828,4.5,+,604,0.53,0.298
1.5,+,622,0.817,4.5,+,604,0.53,0.287
0.5,+,620,0.828,1.5,+,611,0.566,0.262
1.5,+,622,0.817,1.5,+,611,0.566,0.251
5.5,-,725,1.026,1.5,+,622,0.817,0.209
0.5,+,620,0.828,2.5,+,613,0.628,0.2
5.5,-,725,1.026,0.5,+,620,0.828,0.198
1.5,+,622,0.817,2.5,+,613,0.628,0.189
0.5,+,631,2.025,4.5,-,734,1.846,0.179
4.5,+,615,1.171,5.5,-,725,1.026,0.145
3.5,+,613,1.167,5.5,-,725,1.026,0.141
0.5,+,611,1.14,5.5,-,725,1.026,0.114
5.5,+,606,1.127,5.5,-,725,1.026,0.101
2.5,+,613,0.628,4.5,+,604,0.53,0.098
2.5,+,613,0.628,1.5,+,611,0.566,0.062
4.5,+,615,1.171,5.5,+,606,1.127,0.044
3.5,+,613,1.167,5.5,+,606,1.127,0.04
1.5,+,611,0.566,4.5,+,604,0.53,0.036
4.5,+,615,1.171,0.5,+,611,1.14,0.031
3.5,+,613,1.167,0.5,+,611,1.14,0.027
3.5,-,743,2.402,2.5,-,752,2.381,0.021
3.5,-,743,2.402,0.5,-,770,2.384,0.018
3.5,-,743,2.402,1.5,-,761,2.389,0.013
0.5,+,611,1.14,5.5,+,606,1.127,0.013
0.5,+,620,0.828,1.5,+,622,0.817,0.011
1.5,-,761,2.389,2.5,-,752,2.381,0.008
1.5,-,761,2.389,0.5,-,770,2.384,0.005
4.5,+,615,1.171,3.5,+,613,1.167,0.004
0.5,-,770,2.384,2.5,-,752,2.381,0.003
