Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,N_calc,Ad,Zd,Qalpha_Xu_MeV,Q_source,l_used,X_Xu,bracket_Xu,F_Z_Xu,C_ZN_Xu,C_status,h_blocking_Xu,parity_case,log10T_Xu2022_s,T_Xu2022_s,Talpha_exp_s,HF_Xu2022,log10HF_Xu2022
246Fm,246,100,8.24276,1.54,0.936,0,146,242,98,8.379003966942149,Ealpha_MeV converted by A/(A-4),0.0,0.2843395569445657,0.557277039173288,107.85746999999998,0.0,outside_defined_region,0.0,even-even,0.14916662690822236,1.409829607708819,1.6452991452991452,1.1670198556639755,0.06707824519013547
248Fm,248,100,7.86605,34.5,0.0099,0,148,244,98,7.995001639344263,Ealpha_MeV converted by A/(A-4),0.0,0.2719025642216069,0.5773154557358346,107.85746999999998,0.0,outside_defined_region,0.0,even-even,1.397549321141824,24.97752033069606,3484.8484848484845,139.51939338693236,2.1446345793339003
250Fm,250,100,7.43609,1860.0,1.0,0,150,246,98,7.557002032520326,Ealpha_MeV converted by A/(A-4),0.0,0.2575650387148419,0.6012122399002824,107.85746999999998,0.0,outside_defined_region,0.0,even-even,2.953189912563399,897.8213168091766,1860.0,2.071681709017971,0.31632303165451714
252Fm,252,100,7.02243,91368.0,1.0,0,152,248,98,7.135695,Ealpha_MeV converted by A/(A-4),0.0,0.24373009587045602,0.6251364563868613,107.85746999999998,0.0,outside_defined_region,0.0,even-even,4.5938940027192,39254.91151240598,91368.0,2.3275558772084963,0.3669001158067736
254Fm,254,100,7.19222,11664.0,0.9994,0,154,250,98,7.307295519999999,Ealpha_MeV converted by A/(A-4),0.0,0.2501255450423401,0.6139674353040439,107.85746999999998,0.0,outside_defined_region,0.0,even-even,3.8575869804507654,7204.220228335017,11671.002601560936,1.6200230186825157,0.20952118541656595
256Fm,256,100,6.91553,9426.0,0.919,0,156,252,98,7.025300317460318,Ealpha_MeV converted by A/(A-4),0.0,0.24098380814778853,0.6299921655965756,107.85746999999998,0.0,outside_defined_region,0.0,even-even,4.989086459988936,97518.37594214488,10256.800870511424,0.1051781345968735,-0.9780745359514306
252No,252,102,8.4133,2.467,0.676,0,150,248,100,8.548998387096773,Ealpha_MeV converted by A/(A-4),0.0,0.28616346866756515,0.5543899039046911,110.09825556842588,0.0,outside_defined_region,0.0,even-even,0.26321815314549113,1.833235054758792,3.6494082840236683,1.9906930508176648,0.29900430040260895
254No,254,102,8.09646,51.2,0.9,0,152,250,100,8.22600336,Ealpha_MeV converted by A/(A-4),0.0,0.2759410642340245,0.5707403608367152,110.09825556842588,0.0,outside_defined_region,0.0,even-even,1.289905044217928,19.494183249900285,56.88888888888889,2.9182494162293198,0.46512240731857785
256No,256,102,8.44791,2.91,0.9945,0,154,252,100,8.58200380952381,Ealpha_MeV converted by A/(A-4),0.0,0.2884946392013321,0.5507185192737427,110.09825556842588,0.0,outside_defined_region,0.0,even-even,0.08906373539756629,1.2276193786652085,2.9260935143288083,2.3835510950554983,0.37722446612788657
256Rf,256,104,8.78653,0.0066,0.0031,0,152,252,102,8.925998730158732,Ealpha_MeV converted by A/(A-4),0.0,0.2941749535152088,0.5418591454855449,112.33361507002934,0.0,outside_defined_region,0.0,even-even,-0.23219738632996823,0.5858718259392147,2.129032258064516,3.6339556944071365,0.5603796280375642
258Rf,258,104,9.05343,0.0125,0.951,0,154,254,102,9.196003700787402,Ealpha_MeV converted by A/(A-4),0.0,0.3037125952395082,0.5272528669292181,112.33361507002934,0.0,outside_defined_region,0.0,even-even,-1.0667876353151229,0.08574570287239984,0.013144058885383808,0.15329116731299977,-0.8144828686142346
260Sg,260,106,9.74868,0.00495,0.71,0,154,256,104,9.901003125,Ealpha_MeV converted by A/(A-4),0.0,0.32137921894676535,0.5010485987848985,114.56309000249286,0.0,outside_defined_region,0.0,even-even,-2.344345110596418,0.004525378293763954,0.006971830985915494,1.5406073334295152,0.1876919608109115
262Sg,262,106,9.45344,0.0085,0.06,0,156,258,104,9.60000496124031,Ealpha_MeV converted by A/(A-4),0.0,0.31225654398458563,0.5144453511608436,114.56309000249286,0.0,outside_defined_region,0.0,even-even,-1.570109707123315,0.026908549812244015,0.1416666666666667,5.264745504873141,0.7213773824539641
264Hs,264,108,10.4305,0.00063,0.7,0,156,260,106,10.59096923076923,Ealpha_MeV converted by A/(A-4),0.0,0.3386867989565107,0.4763864487403227,116.78627719921462,0.0,outside_defined_region,0.0,even-even,-3.4804450130824094,0.00033079199166238923,0.0009000000000000001,2.720743012782946,0.43468752252173426
266Hs,266,108,10.1904,0.00074,0.76,0,158,262,106,10.3459786259542,Ealpha_MeV converted by A/(A-4),0.0,0.3315299233627949,0.4864676902348351,116.78627719921462,0.0,outside_defined_region,0.0,even-even,-2.9164868494819487,0.001212029388695613,0.0009736842105263157,0.8033503309471691,-0.09509502306786648
268Hs,268,108,9.47937,0.4,1.0,0,160,264,106,9.622996818181818,Ealpha_MeV converted by A/(A-4),0.0,0.3089895419541293,0.5193123674691804,116.78627719921462,0.0,outside_defined_region,0.0,even-even,-1.041615329955377,0.09086249752690978,0.4,4.402256276100448,0.6436753212833394
270Hs,270,108,8.93563,7.6,1.0,0,162,266,106,9.07000037593985,Ealpha_MeV converted by A/(A-4),0.0,0.2918211773948511,0.5455154650376464,116.78627719921462,0.0,outside_defined_region,0.0,even-even,0.5508509550633747,3.555092908775882,7.6,2.1377781664268496,0.32996263721741664
272Hs,272,108,9.62829,0.16,1.0,0,164,268,106,9.77199582089552,Ealpha_MeV converted by A/(A-4),0.0,0.3150378275499207,0.5103310166422188,116.78627719921462,0.0,outside_defined_region,0.0,even-even,-1.5210348766939639,0.030127640697656673,0.16,5.310737790777119,0.7251548593498887
270Ds,270,110,10.9523,0.0002,1.0,0,160,266,108,11.116996240601502,Ealpha_MeV converted by A/(A-4),0.0,0.3510581572760383,0.4593345391270864,119.00282282253778,0.0,outside_defined_region,0.0,even-even,-4.17360143548402,6.704996639404767e-05,0.0002,2.982850115458893,0.4746314311480012
276Ds,276,110,10.746,0.00015,0.43,0,166,272,108,10.904029411764707,Ealpha_MeV converted by A/(A-4),0.0,0.3463940094615579,0.4657085822073659,119.00282282253778,0.0,outside_defined_region,0.0,even-even,-3.7847374378836953,0.0001641581927092076,0.00034883720930232553,2.1250063950220337,0.32736024135979
284Cn,284,112,9.32676,0.098,0.02,0,172,280,110,9.459999428571429,Ealpha_MeV converted by A/(A-4),0.0,0.2973577923439685,0.5369477992857664,121.21241706187521,0.0,outside_defined_region,0.0,even-even,0.565326371196246,3.6755841594783507,4.9,1.333121427070091,0.12486970883226772
284Fl,284,114,10.57,0.0025,0.24,0,170,280,112,10.721,Ealpha_MeV converted by A/(A-4),0.0,0.3309772720398962,0.4872529289224314,123.41478944530172,0.0,outside_defined_region,0.0,even-even,-2.210240218336164,0.006162540431904263,0.010416666666666668,1.6903202148156702,0.22796898529659565
286Fl,286,114,10.1905,105.0,0.4,0,172,282,112,10.33504609929078,Ealpha_MeV converted by A/(A-4),0.0,0.3196720408804545,0.5035342172041997,123.41478944530172,0.0,outside_defined_region,0.0,even-even,-1.251291410789488,0.05606716401586628,262.5,4681.884746760437,3.6704207185314637
288Fl,288,114,9.93606,0.64,1.0,0,174,284,112,10.076004507042253,Ealpha_MeV converted by A/(A-4),0.0,0.31225145189333586,0.514452908278974,123.41478944530172,0.0,outside_defined_region,0.0,even-even,-0.5836064391837112,0.26085163357145424,0.64,2.4535019820939206,0.3897864131675985
290Fl,290,114,9.724,0.46,1.0,0,176,286,112,9.86,Ealpha_MeV converted by A/(A-4),0.0,0.3061339520100034,0.5235970796074632,123.41478944530172,0.0,outside_defined_region,0.0,even-even,-0.009337053914443061,0.9787301027249208,0.46,0.46999678330041755,-0.3279051144039829
288Lv,288,116,11.0839,0.002,1.0,0,172,284,114,11.240011267605635,Ealpha_MeV converted by A/(A-4),0.0,0.34221262787221246,0.4714789462048891,125.60970468625567,0.0,outside_defined_region,0.0,even-even,-2.904567702962918,0.0012457540192549025,0.002,1.6054533793085566,0.20559769862689936
290Lv,290,116,10.8483,0.0083,1.0,0,174,286,114,11.000024475524476,Ealpha_MeV converted by A/(A-4),0.0,0.3355377638417638,0.48080227203550235,125.60970468625567,0.0,outside_defined_region,0.0,even-even,-2.3627328757042605,0.004337776027267393,0.0083,1.9134229033094254,0.2818109680803344
292Lv,292,116,10.6432,0.013,1.0,0,176,288,114,10.791022222222223,Ealpha_MeV converted by A/(A-4),0.0,0.3297793633947548,0.4889583550292036,125.60970468625567,0.0,outside_defined_region,0.0,even-even,-1.8778519271579093,0.013247931468475829,0.013,0.9812852693972794,-0.00820472053525399
294Og,294,118,11.7085,0.00058,1.0,0,176,290,116,11.869996551724139,Ealpha_MeV converted by A/(A-4),0.0,0.3571627945746683,0.45108984207451647,127.79695899802539,0.0,outside_defined_region,0.0,even-even,-3.827814421985135,0.00014865707318940442,0.00058,3.9015970619912603,0.5912424155480722
